CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L00063DL2005PLC139045,AKG EXIM LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-07-05,Delhi,107500000,105921920,63,Unclassified,"408-411 PEARLS CORPORATE,MANGALAM PLACE SECTOR - 3, ROHINI, BEHIND KALI MATA TEMPLE DELHI , Unclassified DL 110085",RoC-Delhi,csakg@akg-global.com,31-03-20,31-03-20
L01100DL1974PLC241646,OMANSH ENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-03-74,Delhi,35500000,35500000,1100,"Agriculture, hunting and related service activities","SHOP NO. QD-37, DDA MARKET, PITAMPURA NEW DELHI , North West Unclassified DL 110034",RoC-Delhi,omanshwork@gmail.com,31-03-20,31-03-20
L01100DL1981PLC012736,SAI BABA INVESTMENT AND COMMERCIALENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-11-81,Delhi,150000000,112650000,1100,"Agriculture, hunting and related service activities","33/36, Basement, West Patel Nagar, New Delhi , Central Delhi Unclassified DL 110008",RoC-Delhi,saibabacommercials@gmail.com,31-03-19,31-03-19
L01111DL1983PLC015969,CONTINENTAL SEEDS AND CHEMICALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-06-83,Delhi,120000000,100028080,1111,"Agriculture, hunting and related service activities","FOURTH FLOOR, C-67, DDA SHEDS, OKHLA PHASE-1 NEW DELHI NEW DELHI , South Delhi Unclassified DL 110020",RoC-Delhi,info@continentalseeds.co.in,31-03-20,31-03-20
L01111DL1983PLC016643,PARAM INDUSTRIES LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,28-09-83,Delhi,100000000,43294800,1111,"Agriculture, hunting and related service activities","IIND FLOOR 43 DARYA GANJ NEW DELHI , Unclassified DL 110002",RoC-Delhi,NA,NA,NA
L01111DL1985PLC021268,SEMAYA LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-06-85,Delhi,56000000,54505000,1111,"Agriculture, hunting and related service activities","FLAT NO.211, ANTRIKSH BHAWAN 22 KG MARG CONNAUGHT PLACE NEW DELHI , New Delhi Unclassified DL 110001",RoC-Delhi,semayalimited@gmail.com,31-03-20,31-03-20
L01111DL1993PLC052845,KRBL LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-03-93,Delhi,300000000,235389892,1111,"Agriculture, hunting and related service activities","5190,LAHORI GATE DELHI , Unclassified DL 110006",RoC-Delhi,investor@krblindia.com,31-03-20,31-03-20
L01119DL1986PLC023698,DR. M. INDUSCORP LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-03-86,Delhi,150000000,76301580,1119,"Agriculture, hunting and related service activities","18B/1, GROUND FLOOR, D.B. GUPTA ROAD, DEV NAGAR, KAROL BAGH , Central Delhi Unclassified DL 110005",RoC-Delhi,drmsoy@gmail.com,31-03-20,31-03-20
L01119DL1990PLC040979,HINDUSTAN AGRIGENTICS LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-07-90,Delhi,50000000,44002000,1119,"Agriculture, hunting and related service activities","806, MEGHDOOT 94,NEHRU PLACE NEW DELHI , New Delhi Unclassified DL 110019",RoC-Delhi,hindustanagrigenetics@gmail.com,31-03-19,31-03-19
L01122DL1984PLC018307,AAYUSH FOOD AND HERBS LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-06-84,Delhi,35000000,32450000,1122,"Agriculture, hunting and related service activities","W-321, Ground Floor Chirag Delhi Delhi , South Delhi Unclassified DL 110017",RoC-Delhi,aayushfoodherbs@gmail.com,31-03-20,31-03-20
L01122DL1990PLC042207,SC AGROTECH LIMITED,Active,Public,Company limited by Shares,Non-govt company,28-11-90,Delhi,700000000,59950000,1122,"Agriculture, hunting and related service activities","Rz-1484/28, GROUND FLOOR TUGHLAKABAD EXT NEW DELHI , South Delhi Unclassified DL 110019",RoC-Delhi,sheel102@gmail.com,31-03-20,31-03-20
L01403DL1983PLC015704,SHIVAMSHREE BUSINESSES LIMITED,Active,Public,Company limited by Shares,Non-govt company,12-05-83,Delhi,50000000,45650000,1403,"Agriculture, hunting and related service activities","A-31, Gali No.2, Madhu Vihar, Hanuman Mandir Delhi , East Delhi Unclassified DL 110092",RoC-Delhi,siddarth.businesses@gmail.com,31-03-19,31-03-19
L01409DL1986PLC024284,VARUNA AGROPROTINS LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,21-05-86,Delhi,75000000,29780900,1409,"Agriculture, hunting and related service activities","82BMADANGIR VILLAGE NEW DELHI , Unclassified DL 110062",RoC-Delhi,NA,NA,NA
L10100DL1998PLC095131,KUMAUN MINERALS AND CHEMICALS (INDIA) LIMITED.,Strike Off,Public,Company limited by Shares,Non-govt company,23-07-98,Delhi,500000,500000,10100,Mining of coal and lignite; extraction of peat,"4/43 SAFDARJUNG ENCLAVE IIND FLOOR NEW DELHI , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L13100DL1976PLC188942,LANDMARK PROPERTY DEVELOPMENT COMPANYLIMITED,Active,Public,Company limited by Shares,Non-govt company,28-12-76,Delhi,141000000,134143160,13100,Mining of metal ores,"11th Floor, Narain Manzil, 23 Barakhamba Road, New Delhi , Unclassified DL 110001",RoC-Delhi,abhatia@landmarkholdings.in,31-03-20,31-03-20
L13203DL1985PLC021536,SAJJAN COMMERCIAL ENTERPRISES LTD,Active,Public,Company limited by Shares,Non-govt company,23-03-85,Delhi,5000000,4960000,13203,Mining of metal ores,"VARDAN HOUSE 17A/39, AJMAL KHAN ROAD, WEA, KAROL BAG NEW DELHI , Unclassified DL 110005",RoC-Delhi,RIDDHISIDDHIDEVELOPERS@GMAIL.COM,31-03-20,31-03-20
L15140DL1991PLC046327,SWARNIME OIL INDUSTRIES LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,07-11-91,Delhi,40000000,700,15140,Manufacture of food products and beverages,"51/40 EPDP COLONY C.R PARK NEWDELHI , Unclassified DL 000000",RoC-Delhi,NA,NA,NA
L15142DL1974PLC007349,MODI NATURALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-07-74,Delhi,200000000,126563970,15142,Manufacture of food products and beverages,"405, Deepali Building 92, Nehru Place New Delhi , Unclassified DL 110019",RoC-Delhi,anilmodi@modinaturals.com,31-03-20,31-03-20
L15142DL1987PLC029899,RELIANCE INFOTEK LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-11-87,Delhi,12500000,12200000,15142,Manufacture of food products and beverages,"H.No.41, KH No.72,Gali No.4,G/F- Hargovind Enclave Rajpur Khurd Ext New Delhi , New Delhi Unclassified DL 110068",RoC-Delhi,sk53jain@gmail.com,31-03-13,31-03-13
L15142DL1990PLC039291,TARAI FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-02-90,Delhi,335000000,153641200,15142,Manufacture of food products and beverages,"13, HANUMAN ROAD, CONNAUGHT PLACE NEW DELHI , Unclassified DL 110001",RoC-Delhi,taraifoods@gmail.com,31-03-20,31-03-20
L15142DL1991PLC046469,SUPERIOR INDUSTRIAL ENTERPRISES LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-11-91,Delhi,150000000,138500000,15142,Manufacture of food products and beverages,"25 BAZAR LANEBENGALI MARKET NEW DELHI , Unclassified DL 110001",RoC-Delhi,info@superiorindustrial.in,31-03-20,31-03-20
L15142DL1992PLC049498,CHAND VANASPATI LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,09-07-92,Delhi,40000000,31763250,15142,Manufacture of food products and beverages,"D-9/4 MODEL TOWN NEW DELHI , Unclassified DL 110009",RoC-Delhi,jaskansal@yahoo.co.in,31-03-06,31-03-06
L15202DL1959PLC003786,NESTLE INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,28-03-59,Delhi,1000000000,964157160,15202,Manufacture of food products and beverages,"100 / 101, WORLD TRADE CENTRE, BARAKHAMBA LANE, NEW DELHI , Central Delhi Unclassified DL 110001",RoC-Delhi,investor@in.nestle.com,31-12-19,31-12-19
L15310DL1988PLC033651,MAHAVIRA FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-10-88,Delhi,35000000,29173000,15310,Manufacture of food products and beverages,"BUILDING NO - 3405, 4TH FLOOR, GALI NO - 1 D. B. GUPTA ROAD, KAROL BAGH, NEAR MANAS MANDIR DELHI , New Delhi Unclassified DL 110005",RoC-Delhi,SHOODA96@GMAIL.COM,31-03-18,31-03-17
L15310DL1991PLC043456,KUMAR FOOD INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-03-91,Delhi,100000000,30000000,15310,Manufacture of food products and beverages,"71/1, SIRASPUR DELHI , North West Unclassified DL 110042",RoC-Delhi,cs@kumarfood.com,31-03-20,31-03-20
